,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
478,Truth or Dare Pro,DATING,4.1,0,20000000.0,50.0,Paid,1.49,Teen,Dating,"September 1, 2017",1.0,4.0 and up
479,"Private Dating, Hide App- Blue for PrivacyHider",DATING,4.1,0,18000.0,100.0,Paid,2.99,Everyone,Dating,"July 25, 2017",1.0.1,4.0 and up
480,Ad Blocker for SayHi,DATING,4.1,4,1200000.0,100.0,Paid,3.99,Teen,Dating,"August 2, 2018",1.2,4.0.3 and up
481,AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17000000.0,100.0,Paid,7.99,Mature 17+,Dating,"January 21, 2017",1.0.1,4.0 and up
605,Cardi B Live Stream Video Chat - Prank,DATING,4.4,28,3400000.0,500.0,Free,0.0,Everyone,Dating,"July 16, 2018",2.5,4.0.3 and up
608,Chat Kids - Chat Room For Kids,DATING,4.7,6,4900000.0,100.0,Free,0.0,Mature 17+,Dating,"July 24, 2018",1.0,4.0.3 and up
611,MouseMingle,DATING,2.7,3,3900000.0,100.0,Free,0.0,Mature 17+,Dating,"July 17, 2018",1.0.0,4.4 and up
615,Awake Dating,DATING,5.0,2,70000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 24, 2018",2.2.9,4.4 and up
616,Live Chat - Free Video Chat Rooms,DATING,4.8,20,4900000.0,500.0,Free,0.0,Mature 17+,Dating,"July 15, 2018",8.2,4.0.3 and up
617,Meet With Strangers: Video Chat & Dating,DATING,4.1,2,3700000.0,500.0,Free,0.0,Mature 17+,Dating,"July 16, 2018",1.,4.0 and up
619,Random Chat App with Strangers,DATING,3.0,2,16000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 17, 2018",2.5,4.0.3 and up
620,Ost. Zombies Cast - New Music and Lyrics,DATING,4.1,1,4600000.0,100.0,Free,0.0,Teen,Dating,"July 20, 2018",1.0,4.0.3 and up
621,Dating White Girls,DATING,4.1,0,3600000.0,50.0,Free,0.0,Mature 17+,Dating,"July 20, 2018",1.0,4.0 and up
623,Geeks Dating,DATING,4.1,0,13000000.0,50.0,Free,0.0,Mature 17+,Dating,"July 10, 2018",1.0,4.1 and up
624,Live chat - free video chat,DATING,4.1,1,8700000.0,500.0,Free,0.0,Mature 17+,Dating,"July 23, 2018",3.52,4.0.3 and up
625,House party - live chat,DATING,1.0,1,9200000.0,10.0,Free,0.0,Mature 17+,Dating,"July 31, 2018",3.52,4.0.3 and up
626,Fishing Brain & Boating Maps Marine,DATING,4.1,3,6900000.0,500.0,Free,0.0,Everyone,Dating,"July 23, 2018",1.0,4.0.3 and up
627,CAM5678 Video Chat,DATING,4.1,0,39000000.0,500.0,Free,0.0,Mature 17+,Dating,"July 13, 2018",5.5.8,4.0.3 and up
628,Video chat live advices,DATING,4.1,0,8000000.0,100.0,Free,0.0,Everyone,Dating,"July 10, 2018",1.0,3.0 and up
630,Pet Lovers Dating,DATING,4.1,0,14000000.0,10.0,Free,0.0,Mature 17+,Dating,"July 9, 2018",1.0,4.1 and up
631,Friend Find: free chat + flirt dating app,DATING,4.1,23,11000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 31, 2018",1.0,4.4 and up
632,Latin Dating,DATING,4.1,0,13000000.0,10.0,Free,0.0,Mature 17+,Dating,"July 9, 2018",1.0,4.1 and up
633,Spine- The dating app,DATING,5.0,5,9300000.0,500.0,Free,0.0,Teen,Dating,"July 14, 2018",4.0,4.0.3 and up
634,Online Chat Girls Meet,DATING,4.7,18,5000000.0,500.0,Free,0.0,Mature 17+,Dating,"July 25, 2018",8.2,4.0.3 and up
635,Wifi Mingle,DATING,4.1,0,10000000.0,10.0,Free,0.0,Everyone,Dating,"July 27, 2018",1.3,4.4 and up
636,Girls Live Talk - Free Text and Video Chat,DATING,5.0,6,5000000.0,100.0,Free,0.0,Mature 17+,Dating,"August 1, 2018",8.2,4.0.3 and up
637,Soy Luna - Top Music And Lyrics,DATING,4.1,1,5000000.0,100.0,Free,0.0,Teen,Dating,"July 24, 2018",1.0,4.0.3 and up
638,When Will You Get Married,DATING,4.1,2,3600000.0,10.0,Free,0.0,Everyone,Dating,"July 14, 2018",1.0,4.0.3 and up
639,HOW TO ASK A GIRL OUT,DATING,4.1,0,19000000.0,10.0,Free,0.0,Everyone,Dating,"July 16, 2018",1.0,4.0.3 and up
640,Online Girls Chat Group,DATING,5.0,5,5000000.0,100.0,Free,0.0,Mature 17+,Dating,"August 2, 2018",8.2,4.0.3 and up
641,The DJ - Match with People,DATING,4.1,0,9800000.0,50.0,Free,0.0,Mature 17+,Dating,"August 2, 2018",1.2,4.1 and up
642,Toronto Dating,DATING,4.1,0,14000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 12, 2018",1.0,4.1 and up
643,i miss you quotes and photos,DATING,4.1,0,5000000.0,100.0,Free,0.0,Everyone,Dating,"July 22, 2018",1.0.7,4.0 and up
644,JoJo Siwa Top Hits Music,DATING,4.1,0,4900000.0,10.0,Free,0.0,Teen,Dating,"July 26, 2018",1.0,4.0.3 and up
645,UK Girls Mobile Numbers,DATING,3.0,1,5500000.0,500.0,Free,0.0,Mature 17+,Dating,"July 19, 2018",1.0,4.0.3 and up
647,Chat Click - Dating Search,DATING,4.1,4,3800000.0,500.0,Free,0.0,Mature 17+,Dating,"July 11, 2018",1.0,3.0 and up
648,Iraq love chat,DATING,4.1,14,5000000.0,50.0,Free,0.0,Teen,Dating,"August 3, 2018",8.2,4.0.3 and up
649,Healthy Relationships Guide,DATING,4.1,0,8199999.999999999,1.0,Free,0.0,Everyone,Dating,"July 31, 2018",2.0,4.0.3 and up
650,following,DATING,4.1,1,21000000.0,10.0,Free,0.0,Mature 17+,Dating,"July 24, 2018",1.0.3,4.2 and up
652,PlusOne,DATING,4.1,0,10000000.0,1.0,Free,0.0,Mature 17+,Dating,"July 17, 2018",1.1.1,4.2 and up
653,Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,4.1,14,3300000.0,50.0,Free,0.0,Everyone,Dating,"July 30, 2018",1.6,4.1 and up
654,Speeding Joyride & Car Meet App,DATING,5.0,3,25000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 20, 2018",1.2.9,4.1 and up
656,Titanic App - Feminist Dating Application,DATING,4.5,120,10000000.0,500.0,Free,0.0,Mature 17+,Dating,"August 4, 2018",1.5-beta,5.0 and up
658,Soul Mate,DATING,4.1,0,4400000.0,10.0,Free,0.0,Mature 17+,Dating,"July 19, 2018",4.5.0,4.0.3 and up
659,Diamond Engagement Rings,DATING,4.1,0,3500000.0,5.0,Free,0.0,Everyone,Dating,"July 12, 2018",6.1,4.0 and up
660,Dating Tips For Men,DATING,4.1,0,7800000.0,10.0,Free,0.0,Everyone,Dating,"July 9, 2018",3.0,4.0.3 and up
661,Halalguur,DATING,4.3,6,9000000.0,100.0,Free,0.0,Mature 17+,Dating,"July 26, 2018",3.7,4.0.3 and up
671,Cardi B Live Stream Video Chat - Prank,DATING,4.4,28,3400000.0,500.0,Free,0.0,Everyone,Dating,"July 16, 2018",2.5,4.0.3 and up
672,Chat Kids - Chat Room For Kids,DATING,4.7,6,4900000.0,100.0,Free,0.0,Mature 17+,Dating,"July 24, 2018",1.0,4.0.3 and up
678,MouseMingle,DATING,2.7,3,3900000.0,100.0,Free,0.0,Mature 17+,Dating,"July 17, 2018",1.0.0,4.4 and up
684,Teenage Chat & Dating,DATING,3.4,5,14000000.0,500.0,Free,0.0,Mature 17+,Dating,"July 9, 2018",1.2,4.1 and up
1024,Sarajevo Film Festival - Official,EVENTS,4.5,6,9700000.0,100.0,Free,0.0,Everyone 10+,Events,"July 31, 2018",2.0.1,4.4W and up
1025,Summer Madness,EVENTS,4.5,4,1400000.0,100.0,Free,0.0,Everyone,Events,"July 26, 2018",1.107,4.0 and up
1028,SUMMER SONIC app,EVENTS,5.0,4,61000000.0,500.0,Free,0.0,Everyone,Events,"July 24, 2018",1.0,4.4 and up
1030,Prosperity,EVENTS,5.0,16,2300000.0,100.0,Free,0.0,Everyone,Events,"July 9, 2018",1.14,2.0 and up
1032,AAS-IN-ASIA 2018,EVENTS,4.5,3,11000000.0,100.0,Free,0.0,Everyone,Events,"July 4, 2018",1.1.9,4.1 and up
1038,Mindvalley U Tallinn 2018,EVENTS,5.0,1,21000000.0,100.0,Free,0.0,Everyone,Events,"July 3, 2018",1.0.5,4.4 and up
1043,AMM Events & CPD,EVENTS,4.5,5,6100000.0,100.0,Free,0.0,Everyone,Events,"August 4, 2018",1.0.5,4.3 and up
1046,TCF National Conference,EVENTS,4.5,1,34000000.0,100.0,Free,0.0,Everyone,Events,"July 11, 2018",1.0,4.1 and up
1047,Endurance Lifestyle,EVENTS,4.6,7,3800000.0,500.0,Free,0.0,Teen,Events,"July 10, 2017",2.1,4.2 and up
2087,Pinkalicious Party,FAMILY,3.0,2,82000000.0,500.0,Paid,2.99,Everyone,Educational;Creativity,"June 25, 2018",1.5.0,4.1 and up
2171,All-in-One Mahjong 3,FAMILY,4.4,38,16000000.0,100.0,Paid,0.99,Everyone,Board;Brain Games,"June 14, 2018",20180609,4.0 and up
2172,World Racers family board game,FAMILY,4.8,4,42000000.0,100.0,Paid,0.99,Everyone,Board;Pretend Play,"September 3, 2015",1.1,5.1 and up
2262,Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23000000.0,100.0,Paid,2.99,Everyone,Medical,"April 20, 2018",1.0,4.1 and up
2265,Arrhythmias and Dysrhythmias,MEDICAL,4.3,3,24000000.0,500.0,Paid,1.0,Everyone,Medical,"January 24, 2016",1.0,4.2 and up
2269,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6500000.0,100.0,Paid,12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
2271,FHR 5-Tier 2.0,MEDICAL,5.0,2,1200000.0,500.0,Paid,2.99,Everyone,Medical,"December 16, 2015",1.0,4.0 and up
2274,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22000000.0,500.0,Paid,3.49,Everyone,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up
2280,Advanced Comprehension Therapy,MEDICAL,4.3,3,62000000.0,100.0,Paid,24.99,Everyone,Medical,"October 5, 2017",1.2,4.0.3 and up
2286,Pain Tracker & Diary,MEDICAL,4.3,3,4600000.0,100.0,Paid,2.99,Everyone,Medical,"January 2, 2018",1.50,4.1 and up
2294,Number Therapy,MEDICAL,4.3,0,5300000.0,50.0,Paid,14.99,Everyone,Medical,"October 3, 2017",1.0,4.0.3 and up
2299,Navi Radiography Pro,MEDICAL,4.7,11,100000000.0,500.0,Paid,15.99,Everyone,Medical,"January 14, 2018",1.2.0,4.0.3 and up
2300,Nursing Care Plan NANDA Tables,MEDICAL,3.0,4,3400000.0,500.0,Paid,0.99,Everyone,Medical,"May 9, 2017",1.0,2.3.3 and up
2409,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6500000.0,100.0,Paid,12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
2414,LTC AS Legal,MEDICAL,4.0,6,1300000.0,100.0,Paid,39.99,Everyone,Medical,"April 4, 2018",3.0.1,4.1 and up
2419,Advanced Comprehension Therapy,MEDICAL,4.3,3,62000000.0,100.0,Paid,24.99,Everyone,Medical,"October 5, 2017",1.2,4.0.3 and up
2422,Visualmed,MEDICAL,4.3,0,3100000.0,1.0,Paid,2.99,Everyone,Medical,"August 1, 2018",1.0,4.1 and up
2423,ABG Master,MEDICAL,4.3,2,1800000.0,50.0,Paid,0.99,Everyone,Medical,"August 4, 2018",1.1,4.1 and up
2424,OrthoFlow,MEDICAL,4.3,0,66000000.0,10.0,Paid,5.99,Everyone,Medical,"July 15, 2018",1.0.0,4.2 and up
2425,Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,4.3,0,5000000.0,1.0,Paid,0.99,Everyone,Medical,"July 24, 2018",1.0,4.0.3 and up
2426,JH Blood Pressure Monitor,MEDICAL,3.7,9,2900000.0,500.0,Free,0.0,Everyone,Medical,"July 21, 2018",1.1,4.0.3 and up
2427,Sway Medical,MEDICAL,5.0,3,22000000.0,100.0,Free,0.0,Everyone,Medical,"July 25, 2018",3.0.0,5.0 and up
2428,Exposure Ed,MEDICAL,3.0,2,16000000.0,500.0,Free,0.0,Everyone,Medical,"July 17, 2018",1.2.9,4.4 and up
2430,Penn State Health OnDemand,MEDICAL,4.3,0,40000000.0,50.0,Free,0.0,Everyone,Medical,"July 24, 2018",10.4.1.018_06,4.0.3 and up
2431,Breastfeeding Tracker Baby Log,MEDICAL,4.3,6,23000000.0,100.0,Free,0.0,Everyone,Medical,"July 20, 2018",1.3.5,5.0 and up
2432,Lego Ninjago Wallpaper,MEDICAL,4.3,2,15000000.0,100.0,Free,0.0,Everyone,Medical,"August 2, 2018",1.2,3.0 and up
2433,RT 516 VET,MEDICAL,4.3,0,29000000.0,10.0,Free,0.0,Everyone,Medical,"July 13, 2018",300000.1.11,4.0.3 and up
2434,EXOGEN Connects (US),MEDICAL,4.3,0,16000000.0,10.0,Free,0.0,Everyone,Medical,"August 1, 2018",1.0.1,4.1 and up
2435,Full Code - Emergency Medicine Simulation,MEDICAL,4.3,0,65000000.0,100.0,Free,0.0,Everyone,Medical,"July 23, 2018",2.0,5.0 and up
2436,Maricopa AH,MEDICAL,4.3,0,29000000.0,100.0,Free,0.0,Everyone,Medical,"July 16, 2018",300000.1.11,4.0.3 and up
2437,Dare EMS Protocols,MEDICAL,4.3,0,20000000.0,10.0,Free,0.0,Everyone 10+,Medical,"July 26, 2018",1.8.3,4.1 and up
2438,Pediatric Emergency Guide,MEDICAL,4.3,0,3800000.0,100.0,Free,0.0,Everyone,Medical,"July 9, 2018",3.1.1,4.4 and up
2439,Weill Cornell Medicine,MEDICAL,4.3,0,19000000.0,50.0,Free,0.0,Everyone,Medical,"July 16, 2018",1.0.10,5.0 and up
2440,Doctors Care,MEDICAL,4.3,0,25000000.0,10.0,Free,0.0,Everyone,Medical,"July 24, 2018",2.0.0 (35717),4.4 and up
2441,PCOS Guide - Fight PCOS naturally,MEDICAL,4.3,0,5100000.0,100.0,Free,0.0,Everyone,Medical,"August 4, 2018",1.0,5.0 and up
2443,Hello Face,MEDICAL,4.3,0,1500000.0,10.0,Free,0.0,Everyone,Medical,"July 31, 2018",1.0,4.4 and up
2444,Cochrane Library,MEDICAL,3.7,3,10000000.0,100.0,Free,0.0,Everyone,Medical,"July 17, 2018",1.5.0,4.1 and up
2445,Labs on Demand,MEDICAL,5.0,1,22000000.0,10.0,Free,0.0,Everyone,Medical,"August 3, 2018",1.2,4.2 and up
2446,Diabetes Testing,MEDICAL,4.3,1,3600000.0,500.0,Free,0.0,Mature 17+,Medical,"July 26, 2018",1.0,4.0.3 and up
2447,GGDE: Prevent & Beat Depression Symptoms,MEDICAL,4.3,2,20000000.0,50.0,Free,0.0,Everyone,Medical,"July 24, 2018",2.01.12,4.0 and up
2448,Dermatology Atlas (Colored & Illustrative),MEDICAL,5.0,3,20000000.0,100.0,Free,0.0,Everyone,Medical,"July 19, 2018",1.0,4.1 and up
2449,Jaylex,MEDICAL,4.3,0,13000000.0,10.0,Free,0.0,Everyone,Medical,"July 30, 2018",1.2.3-DEBUG,4.2 and up
2450,Tablet Reminder,MEDICAL,5.0,4,2500000.0,5.0,Free,0.0,Everyone,Medical,"August 3, 2018",1.0,4.1 and up
2451,Clinical Pharmacology,MEDICAL,4.3,0,3600000.0,10.0,Free,0.0,Everyone,Medical,"August 1, 2018",1.0,4.1 and up
2452,Galaxies of Hope,MEDICAL,5.0,2,24000000.0,50.0,Free,0.0,Everyone,Medical,"July 27, 2018",1.0,4.1 and up
